module_id,prof_id,n_hours,degree,degree_year
140,50,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,1
141,78,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,3
141,78,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,3
142,19,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
142,19,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
142,111,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
142,111,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
143,49,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
144,49,3,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
145,15,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
145,101,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
146,50,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
146,50,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
147,78,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,"[1,2]"
147,86,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,"[1,2]"
148,83,6,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
148,83,1,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
148,83,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
149,83,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
150,16,4,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
151,16,2,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,2
152,28,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,2
153,73,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,"[1,2]"
